Locality	CollectionCode	DecimalLongitude	ScientificName	MinimumElevationInMeters	GUID	Kingdom	InstitutionCode	BasisOfRecord	Class	Country	StateProvince	CatalogNumber	Genus	SpecificEpithet	Order	DecimalLatitude	Family	InfraspecificEpithet	NomenclaturalCode	Phylum	Continent	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	B	34.56800	Gypsophila curvifolia Fenzl	2200	053be1ef-fb70-4b80-a2cd-e8e346c0ac0f-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1043	Gypsophila	curvifolia	Caryophyllales	37.42000	Caryophyllaceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	B	34.56800	Plantago media L.	2200	acd8ca98-f69f-433b-b63c-db63c5f5d121-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1044	Plantago	media	Plantaginales	37.42000	Plantaginaceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	B	34.56800	Minuartia juniperina (L.) Maire & Petitm.	2200	9c28dd7d-0d1e-45f4-9c88-c4403a4c3e7e-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1045	Minuartia	juniperina	Caryophyllales	37.42000	Caryophyllaceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	B	34.56800	Pimpinella tragium subsp. lithophila (I. Schischk.) Tutin	2200	194e32cd-37bc-4aa9-9ce0-d74c8568b2f7-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1046	Pimpinella	tragium	Apiales	37.42000	Apiaceae	lithophila	ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	B	34.56800	Asyneuma rigidum subsp. rigidum	2200	d10ce181-ffea-4651-9635-8808c57fc110-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1047	Asyneuma	rigidum	Campanulales	37.42000	Campanulaceae	rigidum	ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	B	34.56800	Silene armena var. armena	2200	1bd47cc7-565a-45ac-a593-7657889e05b0-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1048	Silene	armena	Caryophyllales	37.42000	Caryophyllaceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	B	34.56800	Sideritis aff. phlomoides P.H.Davis & Hub.-Mor.	2200	1d5bc94e-d14c-4be8-9b60-efcc170d51e4-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1049	Sideritis	aff. phlomoides	Lamiales	37.42000	Lamiaceae		ICBN	Magnoliophyta	Asia	
Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	B	28.80000	Aethionema speciosum subsp. compactum Hartvig & Strid	2180	127240b0-da16-4871-baf9-a12692eb315b-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	105	Aethionema	speciosum	Capparales	37.07000	Brassicaceae	compactum	ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m	B	34.56800	Dianthus anatolicus Boiss.	2120	16663ba2-c97f-436d-bcdf-e6f75aa986ad-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1050	Dianthus	anatolicus	Caryophyllales	37.42000	Caryophyllaceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m	B	34.56800	Globularia trichosantha J.C.Fisch. & C.A.Mey.	2120	af4ad630-5ea7-4079-8071-882c8c3323f9-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1051	Globularia	trichosantha	Scrophulariales	37.42000	Globulariaceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m	B	34.56800	Aethionema iberideum (Boiss.) Boiss.	2120	dec680b7-2857-4ba0-ba4b-28c370295a61-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1052	Aethionema	iberideum	Capparales	37.42000	Brassicaceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	B	34.56800	Salvia virgata Jacq.	2350	5de13646-70c8-411a-a626-d9ec48fedbef-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1054	Salvia	virgata	Lamiales	37.42000	Lamiaceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	B	34.56800	Aethionema capitatum Boiss. & Balansa	2350	806fb7dc-4239-413e-9417-840d19ad876c-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1055	Aethionema	capitatum	Capparales	37.42000	Brassicaceae		ICBN	Magnoliophyta	Asia	
