"GUID","MODIFIED","LINK","SOURCE_ID","SCIENTIFIC_NAME","LOCALITY","COLLECTOR","ORDER","CATALOG_NUMBER","GEODETIC_DATUM","GENUS","EARLIEST_DATE_COLLECTED","CONTINENT","INFRASPECIFIC_EPITHET","BASIS_OF_RECORD","FAMILY","COUNTRY","KINGDOM","STATE_PROVINCE","MINIMUM_ELEVATION_IN_METERS","INSTITUTION_CODE","PHYLUM","DECIMAL_LATITUDE","CLASS","SPECIFIC_EPITHET","COLLECTION_CODE","DECIMAL_LONGITUDE"
"3768795a-4a75-41d8-8c27-5c8e2a9ccf73","2009-03-31 22:13:27.941","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1","1","Ballota acetabulosa (L.) Benth.","Doganbey - Seferihisar. Near sea , 0m. N 38°06´25´´ O 26°51´03´´","Markus Döring","Lamiales","1","WGS84","Ballota","1999-06-18 00:00:00.0","Asia",,"PreservedSpecimen","Lamiaceae","TR","Plantae","Ïzmir","0","BGBM","Magnoliophyta","38.10695",,"acetabulosa","B","26.85083"
"6892f654-a432-4030-acdb-c250495228ba","2009-03-31 22:13:28.119","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1035","1035","Achillea falcata L.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Asterales","1035","WGS84","Achillea","1999-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Asteraceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"falcata","B","34.56800"
"caed0e85-37f3-4739-9b30-56d220be1ae8","2009-03-31 22:13:28.156","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1036","1036","Centaurea carduiformis var. carduiformis","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Asterales","1036","WGS84","Centaurea","1999-07-30 00:00:00.0","Asia","carduiformis","PreservedSpecimen","Asteraceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"carduiformis","B","34.56800"
"3cbed368-3a55-4181-92d8-a43b220a74c6","2009-03-31 22:13:28.237","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1037","1037","Sanguisorba minor subsp. muricata (Spach) Briq.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Rosales","1037","WGS84","Sanguisorba","1999-07-30 00:00:00.0","Asia","muricata","PreservedSpecimen","Rosaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"minor","B","34.56800"
"60bb22ba-205a-4091-8b63-adc3b40c8eeb","2009-03-31 22:13:28.283","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1038","1038","Xeranthemum annuum L.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Asterales","1038","WGS84","Xeranthemum","1999-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Asteraceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"annuum","B","34.56800"
"656b8677-4ca5-45d1-898a-b55f9c3c17f7","2009-03-31 22:13:28.333","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1039","1039","Astragalus haussknechtii Bunge","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Fabales","1039","WGS84","Astragalus","1999-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Fabaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"haussknechtii","B","34.56800"
"c1b28c4b-9c22-412e-9d5a-456ed39e7a3c","2009-03-31 22:13:28.411","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=104","104","Corydalis erdelii Zucc.","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Markus Döring","Papaverales","104","WGS84","Corydalis","1999-06-21 00:00:00.0","Asia",,"PreservedSpecimen","Papaveraceae","TR","Plantae","Mugla","2180","BGBM","Magnoliophyta","37.07000",,"erdelii","B","28.80000"
"71ca11c8-09a9-4ffa-8900-f025ba727ea9","2009-03-31 22:13:28.459","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1040","1040","Festuca valesiaca Schleicher ex Gaudin","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Cyperales","1040","WGS84","Festuca","1999-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Poaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"valesiaca","B","34.56800"
"59e7ebbc-1506-4abe-8eb6-8f697967ad0b","2009-03-31 22:13:28.54","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1041","1041","Koeleria macrantha (Ledeb.) Schult.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Cyperales","1041","WGS84","Koeleria","1999-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Poaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"macrantha","B","34.56800"
"0b751ec5-3424-4d11-9065-70acd2f4edbe","2009-03-31 22:13:28.586","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1042","1042","Onobrychis montana subsp. cadmea (Boiss.) P.W. Ball","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Markus Döring","Fabales","1042","WGS84","Onobrychis","1999-07-31 00:00:00.0","Asia","cadmea","PreservedSpecimen","Fabaceae","TR","Plantae","Nigde","2200","BGBM","Magnoliophyta","37.42000",,"montana","B","34.56800"
