"GUID","MODIFIED","LINK","SOURCE_ID","NOMENCLATURAL_CODE","SCIENTIFIC_NAME","LOCALITY","ORDER","CATALOG_NUMBER","GENUS","CONTINENT","BASIS_OF_RECORD","INFRASPECIFIC_EPITHET","FAMILY","COUNTRY","KINGDOM","STATE_PROVINCE","MINIMUM_ELEVATION_IN_METERS","PHYLUM","INSTITUTION_CODE","DECIMAL_LATITUDE","CLASS","SPECIFIC_EPITHET","COLLECTION_CODE","DECIMAL_LONGITUDE"
"231cd72a-dd51-4338-904a-3dbe89d8cc1a-FOO",,"http://localhost:8080/occ/231cd72a-dd51-4338-904a-3dbe89d8cc1a-FOO","1109","ICBN","Teucrium montanum var. parnassicum Celak","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karag�l, 2650m","Lamiales","1109","Teucrium","Asia","PreservedSpecimen",,"Lamiaceae","TR","Plantae","Nigde","2650","Magnoliophyta","BGBM","37.40400",,"montanum","B","34.55800"
"13474f6c-b865-4dd8-ab6d-f4da6963d8b9-FOO",,"http://localhost:8080/occ/13474f6c-b865-4dd8-ab6d-f4da6963d8b9-FOO","110a","ICBN","Cynoglossum lithospermifolium var. cariense","Sandras Dagi above Agla, ascent from �irali to the �i�ekbaba Tepesi (main summit), valley below the eastern slope of the summit, 1950m","Lamiales","110a","Cynoglossum","Asia","PreservedSpecimen","cariense","Boraginaceae","TR","Plantae","Mugla","1950","Magnoliophyta","BGBM","37.07000",,"lithospermifolium","B","28.80000"
"6fe33a02-c364-4a64-9b58-98cd54465513-FOO",,"http://localhost:8080/occ/6fe33a02-c364-4a64-9b58-98cd54465513-FOO","110b","ICBN","Cerastium macranthum Boiss.","Sandras Dagi above Agla, Ci�ekbaba Tepesi, 2150m","Caryophyllales","110b","Cerastium","Asia","PreservedSpecimen",,"Caryophyllaceae","TR","Plantae","Mugla","2150","Magnoliophyta","BGBM","37.07000",,"macranthum","B","28.80000"
"8fa2b9ab-50de-410d-8954-43811c54a00e-FOO",,"http://localhost:8080/occ/8fa2b9ab-50de-410d-8954-43811c54a00e-FOO","111","ICBN","Hesperis kotschyi Boiss.","Sandras Dagi above Agla, Ci�ekbaba Tepesi, 2150m","Capparales","111","Hesperis","Asia","PreservedSpecimen",,"Brassicaceae","TR","Plantae","Mugla","2150","Magnoliophyta","BGBM","37.07000",,"kotschyi","B","28.80000"
"77a9c6c4-d1bc-460f-b8bf-e9258eb9a875-FOO",,"http://localhost:8080/occ/77a9c6c4-d1bc-460f-b8bf-e9258eb9a875-FOO","1110","ICBN","Aurinia rupestris subsp. cyclocarpa","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Capparales","1110","Aurinia","Asia","PreservedSpecimen","cyclocarpa","Brassicaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"rupestris","B","34.55800"
"3f29c72c-14d9-4101-8bf5-48881bde9c6d-FOO",,"http://localhost:8080/occ/3f29c72c-14d9-4101-8bf5-48881bde9c6d-FOO","1111","ICBN","Nepeta betonicifolia C.A.Mey.","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Lamiales","1111","Nepeta","Asia","PreservedSpecimen",,"Lamiaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"betonicifolia","B","34.55800"
"724fa171-95f6-42dc-bc18-0d576bf6ae7d-FOO",,"http://localhost:8080/occ/724fa171-95f6-42dc-bc18-0d576bf6ae7d-FOO","1112","ICBN","Ranunculus demissus var. major Boiss.","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Ranunculales","1112","Ranunculus","Asia","PreservedSpecimen",,"Ranunculaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"demissus","B","34.55800"
"c133c40e-88b6-4798-ba88-fd3c71ad5120-FOO",,"http://localhost:8080/occ/c133c40e-88b6-4798-ba88-fd3c71ad5120-FOO","1113","ICBN","Poa psychrophila Boiss. & Heldr.","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Cyperales","1113","Poa","Asia","PreservedSpecimen",,"Poaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"psychrophila","B","34.55800"
"3b1d292a-5011-4986-a845-37e4a880b2db-FOO",,"http://localhost:8080/occ/3b1d292a-5011-4986-a845-37e4a880b2db-FOO","1114","ICBN","Phleum alpinum L.","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Cyperales","1114","Phleum","Asia","PreservedSpecimen",,"Poaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"alpinum","B","34.55800"
"640dfa79-a929-4952-967a-738722878253-FOO",,"http://localhost:8080/occ/640dfa79-a929-4952-967a-738722878253-FOO","1115","ICBN","Poa nemoralis L.","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Cyperales","1115","Poa","Asia","PreservedSpecimen",,"Poaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"nemoralis","B","34.55800"
"af46a486-b345-44fe-96c9-7b5cb1e196e6-FOO",,"http://localhost:8080/occ/af46a486-b345-44fe-96c9-7b5cb1e196e6-FOO","1116","ICBN","Sesleria phleoides Steven ex R.Roem. & Schultes","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Cyperales","1116","Sesleria","Asia","PreservedSpecimen",,"Poaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"phleoides","B","34.55800"
