"GUID","MODIFIED","LINK","SOURCE_ID","SCIENTIFIC_NAME","LOCALITY","COLLECTOR","ORDER","CATALOG_NUMBER","GEODETIC_DATUM","GENUS","EARLIEST_DATE_COLLECTED","CONTINENT","INFRASPECIFIC_EPITHET","BASIS_OF_RECORD","FAMILY","COUNTRY","KINGDOM","STATE_PROVINCE","MINIMUM_ELEVATION_IN_METERS","INSTITUTION_CODE","PHYLUM","DECIMAL_LATITUDE","CLASS","SPECIFIC_EPITHET","COLLECTION_CODE","DECIMAL_LONGITUDE"
"5baadfee-58b6-48ad-bec8-4445278c2577","2009-03-31 21:18:32.279","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1","1","Ballota acetabulosa (L.) Benth.","Doganbey - Seferihisar. Near sea , 0m. N 38°06´25´´ O 26°51´03´´","Markus Döring","Lamiales","1","WGS84","Ballota","1999-06-18 00:00:00.0","Asia",,"PreservedSpecimen","Lamiaceae","TR","Plantae","Ïzmir","0","BGBM","Magnoliophyta","38.10695",,"acetabulosa","B","26.85083"
"8a5205e0-d429-41d8-a686-0800044d4209","2009-03-31 21:18:32.454","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1035","1035","Achillea falcata L.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Asterales","1035","WGS84","Achillea","1999-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Asteraceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"falcata","B","34.56800"
"020a99e6-6243-4212-bb1b-93f639b1dfe0","2009-03-31 21:18:32.494","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1036","1036","Centaurea carduiformis var. carduiformis","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Asterales","1036","WGS84","Centaurea","1999-07-30 00:00:00.0","Asia","carduiformis","PreservedSpecimen","Asteraceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"carduiformis","B","34.56800"
"4d23e26b-846e-4c3f-8bae-ee5bc2d09c55","2009-03-31 21:18:32.533","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1037","1037","Sanguisorba minor subsp. muricata (Spach) Briq.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Rosales","1037","WGS84","Sanguisorba","1999-07-30 00:00:00.0","Asia","muricata","PreservedSpecimen","Rosaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"minor","B","34.56800"
"331db1bb-cbc2-48fe-96a5-2ac8b9e3d52a","2009-03-31 21:18:32.563","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1038","1038","Xeranthemum annuum L.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Asterales","1038","WGS84","Xeranthemum","1999-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Asteraceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"annuum","B","34.56800"
"14a7cb4c-3c1e-4065-94b6-6a4dc244646b","2009-03-31 21:18:32.622","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1039","1039","Astragalus haussknechtii Bunge","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Fabales","1039","WGS84","Astragalus","1999-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Fabaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"haussknechtii","B","34.56800"
"8bceda8f-fe73-45b1-8bcb-d7d8ba57ab42","2009-03-31 21:18:32.692","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=104","104","Corydalis erdelii Zucc.","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Markus Döring","Papaverales","104","WGS84","Corydalis","1999-06-21 00:00:00.0","Asia",,"PreservedSpecimen","Papaveraceae","TR","Plantae","Mugla","2180","BGBM","Magnoliophyta","37.07000",,"erdelii","B","28.80000"
"12e3f927-4eaf-49ba-91a0-284aa5b7bcd1","2009-03-31 21:18:32.736","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1040","1040","Festuca valesiaca Schleicher ex Gaudin","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Cyperales","1040","WGS84","Festuca","1999-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Poaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"valesiaca","B","34.56800"
"90ad6fc9-0f3d-4dee-a425-2cf0a349ab66","2009-03-31 21:18:32.877","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1041","1041","Koeleria macrantha (Ledeb.) Schult.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Cyperales","1041","WGS84","Koeleria","1999-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Poaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"macrantha","B","34.56800"
"d3505311-cc1c-4f13-aedc-eef20aa8282f","2009-03-31 21:18:32.923","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1042","1042","Onobrychis montana subsp. cadmea (Boiss.) P.W. Ball","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Markus Döring","Fabales","1042","WGS84","Onobrychis","1999-07-31 00:00:00.0","Asia","cadmea","PreservedSpecimen","Fabaceae","TR","Plantae","Nigde","2200","BGBM","Magnoliophyta","37.42000",,"montana","B","34.56800"
